Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","3.7V 5000mAh LiPo","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",240.700000,-45.075000,90.000000,top
"C1","220uF","CP_Radial_D8.0mm_P3.50mm",71.852651,-63.500000,180.000000,top
"C2","100nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",79.100000,-63.800000,0.000000,top
"C3","100nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",117.000000,-40.100000,0.000000,top
"C4","4.7uF","CP_Radial_D5.0mm_P2.00mm",213.694888,-57.975000,0.000000,top
"C5","10uF","CP_Radial_D5.0mm_P2.00mm",194.844888,-64.600000,0.000000,top
"C6","4.7uF","CP_Radial_D5.0mm_P2.00mm",203.800000,-58.100000,0.000000,top
"D1","LED","LED_D5.0mm",220.450000,-88.775000,0.000000,top
"D2","LED","LED_D5.0mm",228.650000,-88.875000,0.000000,top
"D3","LED","LED_D5.0mm",236.315000,-88.875000,0.000000,top
"F1","3A","Fuse_Bourns_MF-RG300",235.850000,-37.600000,180.000000,top
"J1","USB_C_Receptacle_PowerOnly_6P","USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal",243.450000,-63.975000,90.000000,top
"LS1","Speaker","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",96.200000,-41.950000,180.000000,top
"R1","5.1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",234.800000,-70.820000,-90.000000,top
"R2","5.1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",232.800000,-45.320000,-90.000000,top
"R3","470R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",200.950000,-77.195000,-90.000000,top
"R4","470R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",207.650000,-77.195000,-90.000000,top
"R5","470R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",214.650000,-77.295000,-90.000000,top
"R6","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",220.520000,-73.100000,0.000000,top
"R7","25k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",220.520000,-64.600000,0.000000,top
"R8","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",187.420000,-73.100000,0.000000,top
"R9","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",83.420000,-81.200000,0.000000,top
"U1","38pin-ESP32_DevKit","ESP32",119.700000,-64.700000,90.000000,top
"U2","LCD_crowpanel","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",109.000000,-41.950000,180.000000,top
"U3","DFPlayer_MH2024K","DFPPLAYER",72.120000,-45.630000,180.000000,top
"U4","AS608","JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal",141.300000,-42.050000,180.000000,top
"U5","POWERSUPPLY_UART_TYPE_A","JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal",189.750000,-85.530000,0.000000,top
"U6","POWERSUPPLY_UART_TYPEB","JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal",64.600000,-75.155000,0.000000,top
"U7","MT3608_BOOST_MODULE","MT3608_BOOST_MODULE",204.550000,-41.575000,0.000000,top
"U8","MCP73871-QFN20","QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",209.600000,-70.125000,0.000000,top
